a;a;prep
a cappella;a cappella;adv, adj
a fortiori;a fortiori;
à la;à la;adv
à la carte;à la carte;adv
à outrance;à outrance;
a pena;a pena;adv
a posteriori;a posteriori;adv, adj
a priori;a priori;sb
a tempo;a tempo;adv
ab;ab;prep
ab ovo;ab ovo;adv
abaca;abacā;sb
abaco;ābaco;sb
abandonamento;abandonamento;sb
abandonar;abandonar;vb
abandonate;abandonate;adj
abandono;abandono;sb
abasia;abasia;sb
abassamento;abassamento;sb
abassar;abassar;vb
abat-jour;abat-jour;sb
abatter;abatter;vb
abattimento;abattimento;sb
abattite;abattite;adj
abattitor;abattitor;sb
abattitorio;abattitorio;sb
abaxial;abaxial;adj
abbate;abbate;sb
abbatessa;abbatessa;sb
abbatia;abbatīa;sb
abbatial;abbatial;adj
abbordabile;abbordābile;adj
abbordage;abbordaje;sb
abbordar;abbordar;vb
abbordator;abbordator;sb
abbordo;abbordo;sb
abbreviamento;abbreviamento;sb
abbreviar;abbreviar;vb
abbreviate;abbreviate;adj
abbreviation;abbreviation;sb
abbreviative;abbreviative;adj
abbreviator;abbreviator;sb
abbreviatura;abbreviatura;sb
abc;abecē;sb
abdicante;abdicante;adj
abdicante;abdicante;sb
abdicar;abdicar;vb
abdicatari;abdicatari;adj
abdication;abdication;sb
abdicative;abdicative;adj
abdicator;abdicator;sb
abdicatori;abdicatori;adj
abdominal;abdominal;adj
abdomine;abdomine;sb
abdominose;abdominose;adj
abducer;abducer;vb
abduction;abduction;sb
abductor;abductor;adj
abductor;abductor;sb
abece;abecē;sb
abecedario;abecedario;sb
abelia;abelia;sb
abelian;abelian;adj
aberrante;aberrante;adj
aberrantia;aberrantia;sb
aberrar;aberrar;vb
aberration;aberration;sb
abhorrente;abhorrente;adj
abhorrentia;abhorrentia;sb
abhorrer;abhorrer;vb
abhorribile;abhorrībile;adj
abhorrimento;abhorrimento;sb
abiberar;abiberar;vb
abiberatorio;abiberatorio;sb
abiete;abiete;sb
abietin;abietin;adj
abiogenese;abiogēnese;sb
abiogenesis;abiogēnesis;sb
abiogenetic;abiogenētic;adj
abiotic;abiōtic;adj
abiotrophia;abiotrophīa;sb
abjecte;abjecte;adj
abjection;abjection;sb
abjurabile;abjurābile;adj
abjuramento;abjuramento;sb
abjurar;abjurar;vb
abjuration;abjuration;sb
abjurator;abjurator;sb
abjuratori;abjuratori;adj
ablactar;ablactar;vb
ablactation;ablactation;sb
ablandar;ablandar;vb
ablastina;ablastina;sb
ablation;ablation;sb
ablative;ablative;adj
ablativo;ablativo;sb
ablaut;ablaut;sb
ablegato;ablegato;sb
abluer;abluer;vb
ablution;ablution;sb
abnegar;abnegar;vb
abnegation;abnegation;sb
abolimento;abolimento;sb
abolir;abolir;vb
abolition;abolition;sb
abolitionismo;abolitionismo;sb
abolitionista;abolitionista;adj
abolitionista;abolitionista;sb
abolitive;abolitive;adj
abomaso;abomaso;sb
abominabile;abominābile;adj
abominar;abominar;vb
abomination;abomination;sb
abonamento;abonamento;sb
abonar;abonar;vb
abonato;abonato;sb
aboral;aboral;adj
aborigine;aborigine;adj
aborigines;aborīgines;sb pl
abortamento;abortamento;sb
abortar;abortar;vb
abortator;abortator;sb
abortive;abortive;adj
abortivo;abortivo;sb
aborto;aborto;sb
abracadabra;abracadabra;sb
abrader;abrader;vb
abrasion;abrasion;sb
abrasive;abrasive;adj
abrasivitate;abrasivitate;sb
abrasivo;abrasivo;sb
abreaction;abreaction;sb
abreactive;abreactive;adj
abreager;abreager;vb
abrogabile;abrogābile;adj
abrogar;abrogar;vb
abrogation;abrogation;sb
abrogative;abrogative;adj
abrogator;abrogator;sb
abrogatori;abrogatori;adj
abronia;abronia;sb
abrumper;abrumper;vb
abrupte;abrupte;adj
absceder;absceder;vb
abscesso;abscesso;sb
abscinder;abscinder;vb
abscissa;abscissa;sb
abscission;abscission;sb
absconder;absconder;vb
absconse;absconse;adj
absentar;absentar;vb
absente;absente;adj
absente;absente;sb
absenteismo;absenteismo;sb
absenteista;absenteista;sb
absentia;absentia;sb
absentismo;absentismo;sb
absentista;absentista;sb
absidal;absidal;adj
abside;ābside;sb
absidiola;absidiola;sb
absinthic;absīnthic;adj
absinthina;absinthina;sb
absinthio;absinthio;sb
absinthismo;absinthismo;sb
absolute;absolute;adj
